Fruit Type,Alternative Product,Location,Production Cost (LKR),Selling Price (LKR),Profit Margin (LKR),Profit Percentage,Raw Fruit Selling Price (LKR),Profit Advantage (LKR),Market Suitability
Banana,Fruit-Flavored Tea,Badulla,285.3338294,496.070511,210.7366816,73.85618522,80.6903999,130.0462817,Online
Papaya,Fruit Salsa,Kurunegala,255.5718631,507.0035757,251.4317126,98.38004446,168.6885776,82.74313499,Export
Durian,Canned Fruit Cocktail,Anuradhapura,382.098483,638.6428064,256.5443234,67.14089033,164.2351981,92.30912528,Local
Pineapple,Fruit Vinegar,Anuradhapura,314.9881309,380.4312617,65.4431308,20.77637993,59.36279109,6.080339705,Local & Online
Beli,Fruit Bars,Trincomalee,199.779551,355.8018913,156.0223403,78.09725246,115.6466478,40.37569249,Local & Online
Lychee,Fruit Candy,Galle,460.420596,949.4935388,489.0729428,106.223081,55.89043926,433.1825035,Export & Online
Banana,Freeze-Dried Fruit,Jaffna,377.558078,759.9105142,382.3524362,101.2698333,44.54052674,337.8119094,Export & Online
Ambarella,Fruit Butter,Anuradhapura,277.0059983,375.2751715,98.26917324,35.47546762,155.5538716,-57.28469837,Export
Guava,Chutney,Batticaloa,403.3512295,755.8456728,352.4944433,87.39143891,174.431241,178.0632023,Export
Strawberry,Preserves,Batticaloa,102.6668473,212.0520591,109.3852119,106.5438501,124.4743229,-15.08911104,Online
Woodapple,Fruit Snacks,Ratnapura,57.24745694,102.498837,45.25138002,79.04522303,113.4776804,-68.22630039,Local
Custard Apple,Vinegar,Batticaloa,443.3392023,1068.172128,624.8329256,140.9378919,100.9296471,523.9032785,Export & Online
Beli,Sauce,Batticaloa,182.9784798,456.8642225,273.8857427,149.6819423,159.4137238,114.4720189,Local & Online
Lychee,Fruit Salad Mix,Jaffna,312.7981595,560.9296267,248.1314672,79.32638339,25.8854219,222.2460453,Local
Watermelon,Fruit-Filled Pastries,Matara,282.7903483,662.8159415,380.0255932,134.3842163,30.73627172,349.2893215,Export
Woodapple,Canned Fruit,Puttalam,447.076487,697.398305,250.321818,55.99082602,152.3982788,97.92353924,Local & Online
Pineapple,Fruit-Filled Pastries,Anuradhapura,198.9318216,474.4789937,275.5471721,138.513371,132.9045593,142.6426127,Local
Strawberry,Fruit Bars,Kurunegala,107.263213,237.4626802,130.1994672,121.3831504,51.71824574,78.48122147,Online
Soursop,Freeze-Dried Fruit,Ratnapura,392.8677517,669.2119545,276.3442027,70.34026119,176.9936174,99.35058532,Export
Mangosteen,Fruit Puree,Puttalam,306.6249266,434.4180652,127.7931386,41.6773483,155.3161217,-27.52298303,Local & Online
Pineapple,Sauce,Batticaloa,417.332498,841.5438559,424.211358,101.6482924,160.0317753,264.1795827,Online
Durian,Fruit Pizza,Kurunegala,353.3125654,577.672197,224.3596317,63.50174142,111.0942496,113.265382,Local & Online
Custard Apple,Fruit Bars,Anuradhapura,84.56094751,133.2822717,48.72132418,57.61681439,79.93147216,-31.21014799,Export & Online
Rambutan,Fruit Vinegar,Colombo,463.3407478,1136.395843,673.0550947,145.261365,190.8182161,482.2368786,Local
Ambarella,Jelly,Negombo,96.04710911,195.4206123,99.37350321,103.4632943,199.6872127,-100.3137095,Export
Kiwi,Fruit Butter,Colombo,431.0485184,672.8052109,241.7566925,56.08572636,120.5150777,121.2416148,Online
Beli,Essential Oil,Kurunegala,139.8694057,186.8830904,47.01368477,33.61255776,91.66924419,-44.65555942,Online
Durian,Freeze-Dried Fruit,Galle,115.3641354,216.3862587,101.0221233,87.56804962,98.61483094,2.407292371,Export & Online
Grapes,Fruit Topping,Badulla,365.1495037,895.0996958,529.9501922,145.1323874,69.17866051,460.7715317,Local
