Raw Material Name,Supplier,Location,Price Per Unit (LKR),Delivery Options,Quality Rating,Contact Number
Banana,Ceylon Fruit Suppliers,Matara,292.46,Pickup,B,+94757416683
Papaya,Hill Country Harvest,Kandy,233.31,Pickup,C,+94773659076
Papaya,Farm Direct,Negombo,132.73,Pickup,C,+94719210724
Durian,Royal Fruit Exports,Kandy,288.1,Courier,B,+94741894261
Durian,Exotic Fruits Lanka,Jaffna,462.31,Courier,C,+94798574200
Durian,Southern Fruits & Veggies,Badulla,207.89,Pickup,C,+94733405868
Pineapple,Sunripe Fruits,Puttalam,91.66,Courier,C,+94752529265
Pineapple,Farm Direct,Kandy,346.82,Courier,A,+94760058682
Pineapple,Coconut Grove Farms,Puttalam,305.06,Courier,A,+94737821215
Beli,Ceylon Fruit Suppliers,Negombo,291.24,Courier,A,+94707186400
Beli,Eastern Produce Co.,Matara,491.86,Delivery,C,+94710912378
Beli,Exotic Fruits Lanka,Trincomalee,257.61,Courier,B,+94771814511
Lychee,Hill Country Harvest,Galle,464.55,Delivery,C,+94707821826
Lychee,Jaffna Agro Products,Kurunegala,81.67,Courier,C,+94768546121
Lychee,Coconut Grove Farms,Ratnapura,152.9,Pickup,B,+94745065667
Banana,Ceylon Fruit Suppliers,Galle,240.19,Courier,B,+94724226873
Banana,Jaffna Agro Products,Jaffna,487.0,Delivery,A,+94758022897
Ambarella,Green Valley Orchards,Negombo,97.26,Pickup,A,+94734591668
Ambarella,Royal Fruit Exports,Matara,129.15,Courier,B,+94797765158
Ambarella,Exotic Fruits Lanka,Matara,281.21,Delivery,A,+94782306871
Guava,Harvest Moon,Anuradhapura,50.87,Pickup,A,+94710432328
Guava,Fresh Picks,Colombo,293.88,Courier,B,+94786841356
Guava,Exotic Fruits Lanka,Kurunegala,360.06,Courier,C,+94727294935
Strawberry,Nature's Bounty,Jaffna,215.36,Courier,B,+94774429901
Strawberry,Island Fresh Produce,Kurunegala,240.21,Delivery,A,+94786194629
Strawberry,Green Valley Orchards,Colombo,202.34,Delivery,B,+94772024501
Woodapple,Fresh Picks,Trincomalee,189.58,Courier,B,+94730487917
Woodapple,Jaffna Agro Products,Negombo,58.46,Pickup,C,+94729980848
Woodapple,Nature's Bounty,Batticaloa,394.81,Delivery,A,+94712985894
Custard Apple,Hill Country Harvest,Colombo,486.62,Pickup,C,+94779994517
Custard Apple,Island Fresh Produce,Badulla,200.79,Delivery,C,+94746009441
Beli,Island Fresh Produce,Jaffna,181.05,Delivery,B,+94764237893
Lychee,Fresh Picks,Kurunegala,65.66,Pickup,A,+94710484354
Watermelon,Harvest Moon,Galle,414.02,Delivery,A,+94717809022
Woodapple,Island Fresh Produce,Kandy,377.18,Pickup,B,+94742367704
Woodapple,Ceylon Fruit Suppliers,Galle,104.63,Delivery,C,+94759770547
Pineapple,Jaffna Agro Products,Anuradhapura,362.97,Pickup,A,+94763277060
Strawberry,Harvest Moon,Puttalam,382.19,Pickup,B,+94769416222
Strawberry,Farm Direct,Puttalam,74.14,Delivery,A,+94768027591
Soursop,Organic Lanka,Puttalam,288.53,Delivery,C,+94795670441
Mangosteen,Island Fresh Produce,Kurunegala,310.46,Delivery,B,+94771392632
Mangosteen,Organic Lanka,Kandy,132.31,Delivery,C,+94730664800
Mangosteen,Eastern Produce Co.,Jaffna,314.82,Pickup,B,+94700953181
Pineapple,Harvest Moon,Jaffna,405.35,Courier,B,+94767892212
Pineapple,Farm Direct,Puttalam,328.39,Courier,B,+94739235549
Durian,Farm Direct,Puttalam,290.32,Delivery,B,+94700044759
Durian,Nature's Bounty,Trincomalee,423.8,Pickup,C,+94773734829
Durian,Golden Mango Traders,Kandy,190.41,Delivery,A,+94705270072
Custard Apple,Island Fresh Produce,Matara,103.18,Courier,A,+94773347326
Custard Apple,Jaffna Agro Products,Galle,410.32,Courier,C,+94773287328
Rambutan,Ceylon Fruit Suppliers,Badulla,117.77,Courier,A,+94760849627
Rambutan,Tropical Harvest Co.,Kurunegala,393.3,Pickup,B,+94787435704
Rambutan,Jaffna Agro Products,Matara,233.27,Pickup,C,+94753887496
Ambarella,Exotic Fruits Lanka,Kurunegala,89.69,Courier,B,+94741212788
Kiwi,Green Valley Orchards,Trincomalee,454.11,Courier,B,+94748254219
Beli,Coconut Grove Farms,Badulla,81.46,Delivery,C,+94728479966
Beli,Spice Garden Exports,Colombo,416.71,Courier,A,+94731469088
Durian,Farm Direct,Jaffna,259.52,Delivery,A,+94707155344
Durian,Hill Country Harvest,Puttalam,413.82,Delivery,C,+94735859597
Durian,Organic Lanka,Anuradhapura,482.06,Pickup,B,+94726193316
Grapes,Island Fresh Produce,Colombo,401.07,Pickup,B,+94772734834
Grapes,Tropical Harvest Co.,Puttalam,474.43,Delivery,C,+94755735027
Grapes,Royal Fruit Exports,Jaffna,85.73,Delivery,C,+94741138036
Jackfruit,Ceylon Fruit Suppliers,Trincomalee,415.67,Courier,B,+94753427155
Jackfruit,Golden Mango Traders,Trincomalee,204.2,Courier,A,+94745393216
Jackfruit,Farm Direct,Puttalam,112.12,Pickup,C,+94702568514
Mangosteen,Sunripe Fruits,Matara,179.13,Courier,B,+94797910051
Blueberry,Fresh Picks,Kurunegala,491.35,Delivery,A,+94734903513
Guava,Organic Lanka,Batticaloa,142.75,Pickup,C,+94700407449
Guava,Sunripe Fruits,Negombo,165.95,Pickup,C,+94788474568
Guava,Tropical Harvest Co.,Galle,272.41,Delivery,A,+94739300196
Woodapple,Tropical Harvest Co.,Batticaloa,316.41,Delivery,C,+94789997605
Woodapple,Jaffna Agro Products,Kandy,387.24,Delivery,B,+94721291585
Woodapple,Spice Garden Exports,Ratnapura,184.48,Delivery,B,+94750238722
Mangosteen,Golden Mango Traders,Badulla,436.14,Courier,C,+94711001231
Peach,Hill Country Harvest,Negombo,182.97,Delivery,A,+94751525816
Peach,Sunripe Fruits,Galle,175.43,Courier,B,+94796433606
Peach,Golden Mango Traders,Matara,387.22,Pickup,C,+94701654599
Soursop,Harvest Moon,Matara,425.49,Pickup,B,+94715215428
